frame,ball_x,ball_y,ball_available,ball_zone,possession_player,possession_team,possessor_x,possessor_y,possessor_team,possessor_zone,event_type,previous_possession_player,previous_possession_team,possession_change,team_change,team_a_possession,team_b_possession,pass_event,pass_from_player,pass_to_player,pass_from_team,pass_to_team,pass_confidence
19,75.75,382.3,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
20,82.89,394.49,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
21,87.11,409.21,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
22,82.61,383.62,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
23,92.48,429.4,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
24,90.63,419.95,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
25,84.74,414.4,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
26,82.15,406.24,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
27,82.74,399.3,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
28,82.36,392.31,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
29,77.78,391.37,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
30,79.59,389.66,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
31,77.85,386.16,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
32,78.6,383.68,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
33,85.91,382.42,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
34,109.52,406.65,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
35,149.81,397.76,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
36,145.8875,384.04,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
37,141.965,370.32,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
38,138.04250000000002,356.6,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
39,134.12,342.88,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
40,130.1975,329.15999999999997,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
41,126.275,315.44,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
